Month,Division,Campus,Service Line,Room Type,Occ Units,Available Units/Beds,OCC%
1/31/2026,Central Ohio,Greenville - 423,AL,Companion,0,0,0%
1/31/2026,Central Ohio,Greenville - 423,AL/MC,MC - Compan;A Vw;B Loc;B Sz,0,0,0%
1/31/2026,Central Ohio,Greenville - 423,AL/MC,MC - Compan;B Vw;B Loc;B Sz,0,0,0%
1/31/2026,Central Ohio,Greenville - 423,HC,Companion,0,0,0%
1/31/2026,Central Ohio,Greenville - 423,HC,Private,0,0,0%
1/31/2026,Central Ohio,Greenville - 423,HC/MC,Legacy Lane - Companion,0,0,0%
1/31/2026,Central Ohio,Greenville - 423,HC/MC,Legacy Lane - Private,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,AL,Companion,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,AL,Companion - Single,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,AL,One Bedroom,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,AL,Studio - Double,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,AL/MC,Legacy Bldng - Companion,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,AL/MC,Legacy Bldng - Private,0,1,0%
1/31/2026,Central Ohio,Springfield FG - 401,HC,Companion,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,HC,Private,0,0,0%
1/31/2026,Central Ohio,Springfield FG - 401,VIL,Independent Living - Villa 1,0,0,0%
1/31/2026,Central South Indiana,Avon - 5166,AL,Companion,1,1,100%
1/31/2026,Central South Indiana,Avon - 5166,AL,One BR Apt-Double,4.2,5,84%
1/31/2026,Central South Indiana,Avon - 5166,AL,One BR Apt-Single,2,2,100%
1/31/2026,Central South Indiana,Avon - 5166,AL,Studio - Private,16.8,18,94%
1/31/2026,Central South Indiana,Avon - 5166,AL,Studio Deluxe - Double,3.2,4,79%
1/31/2026,Central South Indiana,Avon - 5166,AL/MC,Legacy Lane - Companion,0,1,0%
1/31/2026,Central South Indiana,Avon - 5166,AL/MC,Legacy Lane - Private,8.7,12,73%
1/31/2026,Central South Indiana,Avon - 5166,HC,Companion,18.7,22,85%
1/31/2026,Central South Indiana,Avon - 5166,HC,Private,30,32,94%
1/31/2026,Central South Indiana,Carmel - 5165,AL,1BR Deluxe,4,4,100%
1/31/2026,Central South Indiana,Carmel - 5165,AL,1BR;B Vw;B Loc;A Sz,4.2,5,83%
1/31/2026,Central South Indiana,Carmel - 5165,AL,1BR;B Vw;B Loc;C Sz,5,5,100%
1/31/2026,Central South Indiana,Carmel - 5165,AL,Companion,0,0,0%
1/31/2026,Central South Indiana,Carmel - 5165,AL,One BR Apt-Double,0,0,0%
1/31/2026,Central South Indiana,Carmel - 5165,AL,Studio; B Vw:B Loc; C Sz,4.2,5,84%
1/31/2026,Central South Indiana,Carmel - 5165,AL,Studio;B Vw;B Loc;A Sz,1,1,100%
1/31/2026,Central South Indiana,Carmel - 5165,AL/MC,Legacy Lane - Companion,2,2,100%
1/31/2026,Central South Indiana,Carmel - 5165,AL/MC,Legacy Lane - Private,8,11,73%
1/31/2026,Central South Indiana,Carmel - 5165,HC,Companion,22.5,25,90%
1/31/2026,Central South Indiana,Carmel - 5165,HC,Private,28.6,32,90%
1/31/2026,Central South Indiana,Carmel - 5165,HC,Studio Deluxe,3.5,4,89%
1/31/2026,Central South Indiana,Greenfield - 125,AL,Companion,7,7,100%
1/31/2026,Central South Indiana,Greenfield - 125,AL,One Bedroom,1,1,100%
1/31/2026,Central South Indiana,Greenfield - 125,AL,Studio - Double,7.8,9,87%
1/31/2026,Central South Indiana,Greenfield - 125,AL,Studio - Private,16.7,17,98%
1/31/2026,Central South Indiana,Greenfield - 125,AL/MC,Legacy Bldng - Companion,4.9,6,81%
1/31/2026,Central South Indiana,Greenfield - 125,AL/MC,Legacy Bldng - Private,16.7,19,88%
1/31/2026,Central South Indiana,Greenfield - 125,AL/MC,Legacy Bldng - Private Inter View,2.9,4,73%
1/31/2026,Central South Indiana,Greenfield - 125,HC,Companion,40.4,45,90%
1/31/2026,Central South Indiana,Greenfield - 125,HC,Private,18,21,86%
1/31/2026,Central South Indiana,Greenfield - 125,HC,Private Deluxe,0,0,0%
1/31/2026,Central South Indiana,Greenfield - 125,VIL,Independent Living - Villa 1,24,24,100%
1/31/2026,Central South Indiana,Indianapolis AP - 5160,AL,Studio - Companion,6,10,60%
1/31/2026,Central South Indiana,Indianapolis AP - 5160,AL,Studio - Private,4.3,6,71%
1/31/2026,Central South Indiana,Indianapolis AP - 5160,HC,Companion,24.6,28,88%
1/31/2026,Central South Indiana,Indianapolis AP - 5160,HC,Private,46,56,82%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL,One Bedroom,3,4,74%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL,Studio - Companion,8.2,10,82%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL,Studio - Companion Deluxe,1,1,100%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL,Studio - End of Hall,3,4,75%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL,Studio - Private,6.1,8,76%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL,Studio - Private Deluxe,3,3,100%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL/MC,Legacy Lane - Companion,2,2,100%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,AL/MC,Legacy Lane - Private,8.8,9,98%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,HC,Companion,10,14,72%
1/31/2026,Central South Indiana,Indianapolis CL - 5161,HC,Private,34.6,43,81%
1/31/2026,Central South Indiana,Mooresville - 5174,AL,1 Bedroom,0,0,0%
1/31/2026,Central South Indiana,Mooresville - 5174,AL,Studio - Double,0,0,0%
1/31/2026,Central South Indiana,Mooresville - 5174,AL,Studio - Private,15,15,100%
1/31/2026,Central South Indiana,Mooresville - 5174,HC,Companion,16.9,19,89%
1/31/2026,Central South Indiana,Mooresville - 5174,HC,Private,30.6,32,96%
1/31/2026,Central South Indiana,New Castle GO - 2153,AL,Companion,1,4,25%
1/31/2026,Central South Indiana,New Castle GO - 2153,AL,Studio - Private,14.9,18,83%
1/31/2026,Central South Indiana,New Castle GO - 2153,AL/MC,Legacy Lane - Companion,2,2,100%
1/31/2026,Central South Indiana,New Castle GO - 2153,AL/MC,Legacy Lane - Private,7.9,9,87%
1/31/2026,Central South Indiana,New Castle GO - 2153,HC,Companion,47.2,53,89%
1/31/2026,Central South Indiana,New Castle GO - 2153,HC,Private,4.5,5,90%
1/31/2026,Central South Indiana,New Castle SL - 2152,SL,One BR Apt Deluxe-Double,0,0,0%
1/31/2026,Central South Indiana,New Castle SL - 2152,SL,One BR Apt Deluxe-Single,2,2,100%
1/31/2026,Central South Indiana,New Castle SL - 2152,SL,One BR Apt-Double,0,0,0%
1/31/2026,Central South Indiana,New Castle SL - 2152,SL,One BR Apt-Single,37,37,100%
1/31/2026,Central South Indiana,New Castle SL - 2152,SL,Studio - Private,12.7,16,79%
1/31/2026,Central South Indiana,New Castle SL - 2152,SL,Two BR Apt-Double,0,0,0%
1/31/2026,Central South Indiana,New Castle SL - 2152,SL,Two BR Apt-Single,2,4,50%
1/31/2026,Central South Indiana,Westfield - 5171,AL,One BR Apt-Double,4,4,100%
1/31/2026,Central South Indiana,Westfield - 5171,AL,Studio - Private,23.2,24,97%
1/31/2026,Central South Indiana,Westfield - 5171,AL,Studio - Private Deluxe,2,2,100%
1/31/2026,Central South Indiana,Westfield - 5171,AL/MC,LL - Companion,1.3,2,66%
1/31/2026,Central South Indiana,Westfield - 5171,AL/MC,LL - Studio,7.5,9,84%
1/31/2026,Central South Indiana,Westfield - 5171,HC,Companion,9.5,10,95%
1/31/2026,Central South Indiana,Westfield - 5171,HC,Private,43.5,45,97%
1/31/2026,Great Lakes,Battle Creek - 501,AL,Studio - Private,28.5,30,95%
1/31/2026,Great Lakes,Battle Creek - 501,AL/MC,Legacy Bldng - Companion,0,0,0%
1/31/2026,Great Lakes,Battle Creek - 501,AL/MC,Legacy Bldng - Private,0,0,0%
1/31/2026,Great Lakes,Battle Creek - 501,HC,Companion,42.6,47,91%
1/31/2026,Great Lakes,Battle Creek - 501,HC,Private,26.5,30,88%
1/31/2026,Great Lakes,Belmont - 519,AL,Compan;B Vw;C Loc;B Sz,0.5,1,45%
1/31/2026,Great Lakes,Belmont - 519,AL,Compan;C Vw;C Loc;A Sz,2,2,100%
1/31/2026,Great Lakes,Belmont - 519,AL,Compan;C Vw;C Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Belmont - 519,AL,Studio;A Vw;A Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Belmont - 519,AL,Studio;A Vw;C Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Belmont - 519,AL,Studio;B Vw;C Loc;B Sz,3.6,4,91%
1/31/2026,Great Lakes,Belmont - 519,AL,Studio;C Vw;A Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Belmont - 519,AL,Studio;C Vw;B Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Belmont - 519,AL,Studio;C Vw;C Loc;B Sz,4.8,5,96%
1/31/2026,Great Lakes,Belmont - 519,AL/MC,MC-Compan;A Vw;A Loc;A Sz,1,1,100%
1/31/2026,Great Lakes,Belmont - 519,AL/MC,MC-Compan;A Vw;B Loc;A Sz,1,1,100%
1/31/2026,Great Lakes,Belmont - 519,AL/MC,MC-Compan;C Vw;B Loc;A Sz,0.8,1,77%
1/31/2026,Great Lakes,Belmont - 519,AL/MC,MC-Studio;A Vw;A Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Belmont - 519,AL/MC,MC-Studio;A Vw;C Loc;B Sz,5,5,100%
1/31/2026,Great Lakes,Belmont - 519,AL/MC,MC-Studio;C Vw;C Loc;B Sz,5,5,100%
1/31/2026,Great Lakes,Belmont - 519,HC,Compan;A Vw;C Loc;B Sz,5.7,6,95%
1/31/2026,Great Lakes,Belmont - 519,HC,Compan;B Vw;C Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Belmont - 519,HC,Compan;C Vw;C Loc;B Sz,3.9,4,98%
1/31/2026,Great Lakes,Belmont - 519,HC,Studio;A Vw;B Loc;B Sz,1.9,2,97%
1/31/2026,Great Lakes,Belmont - 519,HC,Studio;A Vw;C Loc;B Sz,11.1,12,92%
1/31/2026,Great Lakes,Belmont - 519,HC,Studio;B Vw;A Loc;A Sz,0.5,1,52%
1/31/2026,Great Lakes,Belmont - 519,HC,Studio;B Vw;B Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Belmont - 519,HC,Studio;B Vw;C Loc;B Sz,8.3,9,92%
1/31/2026,Great Lakes,Belmont - 519,HC,Studio;C Vw;A Loc;B Sz,4.7,5,95%
1/31/2026,Great Lakes,Belmont - 519,HC,Studio;C Vw;B Loc;B Sz,5.2,6,87%
1/31/2026,Great Lakes,Belmont - 519,HC,Studio;C Vw;C Loc;B Sz,10.4,12,87%
1/31/2026,Great Lakes,Belmont - 519,SL,1BR;A Vw;B Loc;A Sz,1,1,100%
1/31/2026,Great Lakes,Belmont - 519,SL,1BR;A Vw;B Loc;B Sz,3.5,4,87%
1/31/2026,Great Lakes,Belmont - 519,SL,1BR;B Vw;B Loc;A Sz,2,2,100%
1/31/2026,Great Lakes,Belmont - 519,SL,1BR;B Vw;B Loc;B Sz,5,5,100%
1/31/2026,Great Lakes,Belmont - 519,SL,1BR;C Vw;B Loc;A Sz,4,4,100%
1/31/2026,Great Lakes,Belmont - 519,SL,1BR;C Vw;B Loc;B Sz,3,3,100%
1/31/2026,Great Lakes,Belmont - 519,SL,1BR;C Vw;B Loc;C Sz,1,1,100%
1/31/2026,Great Lakes,Belmont - 519,SL,Studio;A Vw;B Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Belmont - 519,SL,Studio;B Vw;B Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Belmont - 519,SL,Studio;C Vw;B Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Byron Center - 518,AL,Compan;A Vw;C Loc;A Sz,2,2,100%
1/31/2026,Great Lakes,Byron Center - 518,AL,Compan;B Vw;C Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Byron Center - 518,AL,Compan;C Vw;C Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Byron Center - 518,AL,Studio;A Vw;A Loc;B Sz,3,3,100%
1/31/2026,Great Lakes,Byron Center - 518,AL,Studio;A Vw;B Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Byron Center - 518,AL,Studio;A Vw;C Loc;B Sz,4.5,5,91%
1/31/2026,Great Lakes,Byron Center - 518,AL,Studio;B Vw;C Loc;B Sz,3.5,4,87%
1/31/2026,Great Lakes,Byron Center - 518,AL,Studio;C Vw;B Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Byron Center - 518,AL,Studio;C Vw;C Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Byron Center - 518,AL/MC,MC-Compan;A Vw;A Loc;A Sz,1,1,100%
1/31/2026,Great Lakes,Byron Center - 518,AL/MC,MC-Compan;A Vw;C Loc;A Sz,1,1,100%
1/31/2026,Great Lakes,Byron Center - 518,AL/MC,MC-Compan;A Vw;C Loc;B Sz,0.8,2,42%
1/31/2026,Great Lakes,Byron Center - 518,AL/MC,MC-Compan;C Vw;C Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Byron Center - 518,AL/MC,MC-Studio;A Vw;A Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Byron Center - 518,AL/MC,MC-Studio;A Vw;C Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Byron Center - 518,AL/MC,MC-Studio;C Vw;C Loc;B Sz,2.5,3,85%
1/31/2026,Great Lakes,Byron Center - 518,HC,Compan;C Vw;C Loc;B Sz,11.4,12,95%
1/31/2026,Great Lakes,Byron Center - 518,HC,Companion,0,0,0%
1/31/2026,Great Lakes,Byron Center - 518,HC,Private,0,0,0%
1/31/2026,Great Lakes,Byron Center - 518,HC,Studio DLX;C Vw;C Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Byron Center - 518,HC,Studio;A Vw;A Loc;B Sz,1.9,2,95%
1/31/2026,Great Lakes,Byron Center - 518,HC,Studio;A Vw;C Loc;B Sz,8,9,89%
1/31/2026,Great Lakes,Byron Center - 518,HC,Studio;C Vw;A Loc;B Sz,5.4,6,90%
1/31/2026,Great Lakes,Byron Center - 518,HC,Studio;C Vw;C Loc;B Sz,25.7,29,89%
1/31/2026,Great Lakes,Byron Center - 518,SL,1BR;A Vw;C Loc;A Sz,1,1,100%
1/31/2026,Great Lakes,Byron Center - 518,SL,1BR;A Vw;C Loc;B Sz,4,4,100%
1/31/2026,Great Lakes,Byron Center - 518,SL,1BR;B Vw;C Loc;B Sz,7,7,100%
1/31/2026,Great Lakes,Byron Center - 518,SL,1BR;C Vw;C Loc;B Sz,1,2,50%
1/31/2026,Great Lakes,Byron Center - 518,SL,1BR;C Vw;C Loc;C Sz,1,1,100%
1/31/2026,Great Lakes,Byron Center - 518,SL,Studio;A Vw;C Loc;A Sz,2,2,100%
1/31/2026,Great Lakes,Byron Center - 518,SL,Studio;B Vw;C Loc;B Sz,3,3,100%
1/31/2026,Great Lakes,Byron Center - 518,SL,Studio;B Vw;C Loc;C Sz,1,1,100%
1/31/2026,Great Lakes,Byron Center - 518,SL,Studio;C Vw;C Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Hudsonville - 524,AL,Compan;A Vw;C Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Hudsonville - 524,AL,Compan;C Vw;C Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Hudsonville - 524,AL,Studio;A Vw;A Loc;B Sz,2.5,3,83%
1/31/2026,Great Lakes,Hudsonville - 524,AL,Studio;A Vw;C Loc;B Sz,10,10,100%
1/31/2026,Great Lakes,Hudsonville - 524,AL,Studio;C Vw;C Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Hudsonville - 524,AL/MC,MC-Compan;A Vw;C Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Hudsonville - 524,AL/MC,MC-Compan;C Vw;C Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Hudsonville - 524,AL/MC,MC-Studio;A Vw;A Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Hudsonville - 524,AL/MC,MC-Studio;A Vw;C Loc;B Sz,5,5,100%
1/31/2026,Great Lakes,Hudsonville - 524,AL/MC,MC-Studio;C Vw;C Loc;B Sz,4.2,5,84%
1/31/2026,Great Lakes,Hudsonville - 524,HC,Compan;A Vw;C Loc;B Sz,3.8,4,94%
1/31/2026,Great Lakes,Hudsonville - 524,HC,Compan;C Vw;C Loc;B Sz,9,16,56%
1/31/2026,Great Lakes,Hudsonville - 524,HC,Studio Dlx;C Vw;C Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Hudsonville - 524,HC,Studio;A Vw;A Loc;B Sz,2.5,3,85%
1/31/2026,Great Lakes,Hudsonville - 524,HC,Studio;A Vw;C Loc;B Sz,5.3,10,53%
1/31/2026,Great Lakes,Hudsonville - 524,HC,Studio;C Vw;A Loc;B Sz,3.5,4,87%
1/31/2026,Great Lakes,Hudsonville - 524,HC,Studio;C Vw;C Loc;B Sz,12,20,60%
1/31/2026,Great Lakes,Hudsonville - 524,SL,1BR;A Vw;C Loc;A Sz,2,2,100%
1/31/2026,Great Lakes,Hudsonville - 524,SL,1BR;A Vw;C Loc;B Sz,6.5,7,93%
1/31/2026,Great Lakes,Hudsonville - 524,SL,1BR;C Vw;A Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Hudsonville - 524,SL,1BR;C Vw;C Loc;A Sz,1,1,100%
1/31/2026,Great Lakes,Hudsonville - 524,SL,1BR;C Vw;C Loc;B Sz,5,5,100%
1/31/2026,Great Lakes,Hudsonville - 524,SL,1BR;C Vw;C Loc;C Sz,2,2,100%
1/31/2026,Great Lakes,Hudsonville - 524,SL,2BR;C Vw;A Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Hudsonville - 524,SL,Studio;A Vw;C Loc;B Sz,1.5,2,76%
1/31/2026,Great Lakes,Hudsonville - 524,SL,Studio;C Vw;C Loc;B Sz,3,3,100%
1/31/2026,Great Lakes,Lowell - 156,AL,Companion,3.1,4,77%
1/31/2026,Great Lakes,Lowell - 156,AL,Studio - Double,9.8,10,98%
1/31/2026,Great Lakes,Lowell - 156,AL,Studio - Private,5.2,6,87%
1/31/2026,Great Lakes,Lowell - 156,AL/MC,Legacy Lane - Companion,3,3,100%
1/31/2026,Great Lakes,Lowell - 156,AL/MC,Legacy Lane - Private,7.3,8,92%
1/31/2026,Great Lakes,Lowell - 156,HC,Companion,21.9,24,91%
1/31/2026,Great Lakes,Lowell - 156,HC,Private,32,34,94%
1/31/2026,Great Lakes,Muskegon - 525,AL,Compan;A Vw;C Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Muskegon - 525,AL,Compan;C Vw;C Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Muskegon - 525,AL,Studio;A Vw;A Loc;B Sz,3,3,100%
1/31/2026,Great Lakes,Muskegon - 525,AL,Studio;A Vw;C Loc;B Sz,10,10,100%
1/31/2026,Great Lakes,Muskegon - 525,AL,Studio;C Vw;C Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Muskegon - 525,AL/MC,MC-Compan;A Vw;C Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Muskegon - 525,AL/MC,MC-Compan;C Vw;C Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Muskegon - 525,AL/MC,MC-Studio;A Vw;A Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Muskegon - 525,AL/MC,MC-Studio;A Vw;C Loc;B Sz,4.5,5,90%
1/31/2026,Great Lakes,Muskegon - 525,AL/MC,MC-Studio;C Vw;C Loc;B Sz,3.5,5,69%
1/31/2026,Great Lakes,Muskegon - 525,HC,Compan;A Vw;C Loc;B Sz,2.9,4,72%
1/31/2026,Great Lakes,Muskegon - 525,HC,Compan;C Vw;C Loc;B Sz,8.9,16,56%
1/31/2026,Great Lakes,Muskegon - 525,HC,Studio Dlx;C Vw;C Loc;B Sz,0.2,1,23%
1/31/2026,Great Lakes,Muskegon - 525,HC,Studio;A Vw;A Loc;B Sz,2.3,3,76%
1/31/2026,Great Lakes,Muskegon - 525,HC,Studio;A Vw;C Loc;B Sz,5.8,10,58%
1/31/2026,Great Lakes,Muskegon - 525,HC,Studio;C Vw;A Loc;B Sz,5.1,6,85%
1/31/2026,Great Lakes,Muskegon - 525,HC,Studio;C Vw;C Loc;B Sz,11.2,18,62%
1/31/2026,Great Lakes,Muskegon - 525,SL,1BR;A Vw;C Loc;A Sz,1,2,50%
1/31/2026,Great Lakes,Muskegon - 525,SL,1BR;A Vw;C Loc;B Sz,7,7,100%
1/31/2026,Great Lakes,Muskegon - 525,SL,1BR;C Vw;A Loc;B Sz,2,2,100%
1/31/2026,Great Lakes,Muskegon - 525,SL,1BR;C Vw;C Loc;A Sz,1,1,97%
1/31/2026,Great Lakes,Muskegon - 525,SL,1BR;C Vw;C Loc;B Sz,5,5,100%
1/31/2026,Great Lakes,Muskegon - 525,SL,1BR;C Vw;C Loc;C Sz,2,2,100%
1/31/2026,Great Lakes,Muskegon - 525,SL,2BR;C Vw;A Loc;B Sz,1,1,100%
1/31/2026,Great Lakes,Muskegon - 525,SL,Studio;A Vw;C Loc;B Sz,1,2,50%
1/31/2026,Great Lakes,Muskegon - 525,SL,Studio;C Vw;C Loc;B Sz,2,3,67%
1/31/2026,Great Lakes,Sun Prairie - 572,AL,1 Bedroom,4,4,100%
1/31/2026,Great Lakes,Sun Prairie - 572,AL,2 Bedroom,4,4,100%
1/31/2026,Great Lakes,Sun Prairie - 572,AL,Studio,5,6,83%
1/31/2026,Great Lakes,Sun Prairie - 572,HC,Companion,8.4,11,76%
1/31/2026,Great Lakes,Sun Prairie - 572,HC,Private,17.5,18,97%
1/31/2026,Great Lakes,Sun Prairie - 572,HC,Private - 100 Hall,7.7,10,77%
1/31/2026,Great Lakes,Valparaiso - 139,AL,Companion,4.5,5,90%
1/31/2026,Great Lakes,Valparaiso - 139,AL,Companion - End of Hall,0.6,1,61%
1/31/2026,Great Lakes,Valparaiso - 139,AL,Studio - Private,16.5,23,72%
1/31/2026,Great Lakes,Valparaiso - 139,AL,Studio - Private - End of Hall,1,4,25%
1/31/2026,Great Lakes,Valparaiso - 139,AL,Studio - Private Deluxe,0.9,1,87%
1/31/2026,Great Lakes,Valparaiso - 139,AL/MC,Legacy Bldng - Companion,3,3,100%
1/31/2026,Great Lakes,Valparaiso - 139,AL/MC,Legacy Bldng - Private,24.4,26,94%
1/31/2026,Great Lakes,Valparaiso - 139,HC,Companion,22,24,92%
1/31/2026,Great Lakes,Valparaiso - 139,HC,Private,33.1,36,92%
1/31/2026,Great Lakes,Valparaiso - 139,HC,TCU - Private Deluxe,0.8,1,84%
1/31/2026,Great Lakes,Waunakee - 571,AL,1 Bedroom,30.8,32,96%
1/31/2026,Great Lakes,Waunakee - 571,AL,2 Bedroom,6,6,100%
1/31/2026,Great Lakes,Waunakee - 571,AL,CBRF Studio,0,0,0%
1/31/2026,Great Lakes,Waunakee - 571,AL,Studio,31.5,32,98%
1/31/2026,Great Lakes,Waunakee - 571,AL/MC,MC - Companion,0.8,2,40%
1/31/2026,Great Lakes,Waunakee - 571,AL/MC,MC - Studio,1.5,2,74%
1/31/2026,Great Lakes,Waunakee - 571,AL/MC,MC - Studio Deluxe,13.2,14,94%
1/31/2026,Great Lakes,Waunakee - 571,HC,Companion,11.7,13,90%
1/31/2026,Great Lakes,Waunakee - 571,HC,Private,42.5,51,83%
1/31/2026,Great Lakes,Waunakee - 571,VIL,1 Bedroom,8,8,100%
1/31/2026,Kentuckiana,Corydon - 2180,AL,Companion,3,4,75%
1/31/2026,Kentuckiana,Corydon - 2180,AL,Studio - Private,14.1,15,94%
1/31/2026,Kentuckiana,Corydon - 2180,AL/MC,Legacy Bldng - Companion,2,3,67%
1/31/2026,Kentuckiana,Corydon - 2180,AL/MC,Legacy Bldng - Private,7.1,8,89%
1/31/2026,Kentuckiana,Corydon - 2180,HC,Companion,21.3,24,89%
1/31/2026,Kentuckiana,Corydon - 2180,HC,Private,32,34,94%
1/31/2026,Kentuckiana,Corydon - 2180,VIL,INDEPENDENT LIVING - 1 BR,8,8,100%
1/31/2026,Kentuckiana,Corydon - 2180,VIL,INDEPENDENT LIVING - 2 BR,13.5,14,97%
1/31/2026,Kentuckiana,Corydon - 2180,VIL,Independent Living - 2BR,20,20,100%
1/31/2026,Kentuckiana,Louisville ES - 210,AL/MC,MC - Studio;A Vw;B Loc;B Sz,17.1,18,95%
1/31/2026,Kentuckiana,Louisville ES - 210,AL/MC,MC - Studio;B Vw;B Loc;B Sz,21,21,100%
1/31/2026,Kentuckiana,Louisville ES - 210,AL/MC,MC - Studio;C Vw;B Loc;B Sz,21,21,100%
1/31/2026,Kentuckiana,Louisville FH - 2137,AL,One BR Apt,14,14,100%
1/31/2026,Kentuckiana,Louisville FH - 2137,AL,One BR Apt - B Location,6,6,100%
1/31/2026,Kentuckiana,Louisville FH - 2137,AL,One BR Apt-Double,4,4,100%
1/31/2026,Kentuckiana,Louisville FH - 2137,AL,Studio A-A2-A3-D3,7,7,100%
1/31/2026,Kentuckiana,Louisville FH - 2137,AL,Studio D-D5,9,10,90%
1/31/2026,Kentuckiana,Louisville FH - 2137,AL,Studio D2,1,1,100%
1/31/2026,Kentuckiana,Louisville FH - 2137,AL,Studio D4,3.4,4,84%
1/31/2026,Kentuckiana,Louisville FH - 2137,AL,Two BR Apt-Double,3,3,100%
1/31/2026,Kentuckiana,Louisville FH - 2137,AL,Two BR Apt-Single,3,3,100%
1/31/2026,Kentuckiana,Louisville FH - 2137,HC,Companion,10.7,16,67%
1/31/2026,Kentuckiana,Louisville FH - 2137,HC,Private,67,71,94%
1/31/2026,Kentuckiana,Louisville FS - 2154,AL,Companion,1.4,3,45%
1/31/2026,Kentuckiana,Louisville FS - 2154,AL,Studio,16,17,94%
1/31/2026,Kentuckiana,Louisville FS - 2154,AL/MC,MC - Companion,3,3,100%
1/31/2026,Kentuckiana,Louisville FS - 2154,AL/MC,MC - Studio,7.8,8,98%
1/31/2026,Kentuckiana,Louisville FS - 2154,HC,Companion,21.7,24,91%
1/31/2026,Kentuckiana,Louisville FS - 2154,HC,Private,33.2,34,98%
1/31/2026,Kentuckiana,Louisville FS - 2154,VIL,Independent Living - Villa 1,33,34,97%
1/31/2026,Kentuckiana,Louisville GR - 126,AL,Companion,4,4,100%
1/31/2026,Kentuckiana,Louisville GR - 126,AL,Studio,17.2,18,95%
1/31/2026,Kentuckiana,Louisville GR - 126,HC,Companion,19.5,20,97%
1/31/2026,Kentuckiana,Louisville GR - 126,HC,Private,30.3,31,98%
1/31/2026,Kentuckiana,Louisville GR - 126,HC,Private Deluxe,0,0,0%
1/31/2026,Kentuckiana,Louisville GR - 126,HC/MC,MC - COMPANION,3.9,4,98%
1/31/2026,Kentuckiana,Louisville GR - 126,HC/MC,MC - PRIVATE,10.9,11,99%
1/31/2026,Kentuckiana,Louisville PT - 127,HC,Private,36.7,39,94%
1/31/2026,Kentuckiana,Louisville PT - 127,HC,TCU - Private,18.9,21,90%
1/31/2026,Kentuckiana,Louisville PT - 127,HC/MC,Legacy Lane - Companion,21.5,22,98%
1/31/2026,Kentuckiana,Louisville PT - 127,HC/MC,Legacy Lane - Private,6,6,100%
