PKDate1,DisplayDept,DisplayPayer,BudgetResidentCensus,ActualResidentCensus,Textbox5,AvailableBeds,AvailableUnits,Budgeted_Occupied_Units,Units_Beds_Occupied,Unit_Bed_Vacancy,ADC,PADC,MTD_MCAdmits,MTD_MCDisch,Prior_MCAdmits,Prior_MCDisch,Licenensed_Beds_Units12,Unlicenensed_Beds_Units8,BudgetResidentCensus1,ActualResidentCensus1,Textbox29,AvailableBeds1,AvailableUnits1,Budgeted_Occupied_Units1,Units_Beds_Occupied1,Unit_Bed_Vacancy1,Textbox98,Textbox101,ADC1,PADC1,MTD_MCAdmits1,MTD_MCDisch1,Prior_MCAdmits1,Prior_MCDisch1,Licenensed_Beds_Units13,Unlicenensed_Beds_Units18,Textbox106,ActualResidentCensus2,Textbox108,AvailableBeds2,AvailableUnits2,Budgeted_Occupied_Units2,Units_Beds_Occupied2,Unit_Bed_Vacancy2,Textbox105,Textbox115,ADC2,PADC2,MTD_MCAdmits2,MTD_MCDisch2,Prior_MCAdmits2,Prior_MCDisch2,Licenensed_Beds_Units14,Unlicenensed_Beds_Units19
07/31/2026,06-SL,PRIVATE PAY,140,131,(9),0,153,140,131,0,127,133,3,7,1,6,102,29,150,139,(11),0,153,140,132,21,91.27%,86.27%,134,142,3,8,1,7,120,40,"6,381","6,378",(3),"3,997","2,912","6,261","6,240",670,90.62%,90.32%,"6,382","6,373","1,042","1,007","2,157","2,116","6,717",349
07/31/2026,06-SL,BEDHOLDS,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,150,139,(11),0,153,140,132,21,91.27%,86.27%,134,142,3,8,1,7,120,40,"6,381","6,378",(3),"3,997","2,912","6,261","6,240",670,90.62%,90.32%,"6,382","6,373","1,042","1,007","2,157","2,116","6,717",349
07/31/2026,06-SL,2ND OCCUPANT,11,7,(4),0,0,0,0,0,6,8,0,1,0,1,0,7,150,139,(11),0,153,140,132,21,91.27%,86.27%,134,142,3,8,1,7,120,40,"6,381","6,378",(3),"3,997","2,912","6,261","6,240",670,90.62%,90.32%,"6,382","6,373","1,042","1,007","2,157","2,116","6,717",349
07/31/2026,06-SL,UNOCCUPIED,0,0,0,0,0,0,0,21,0,0,0,0,0,0,18,3,150,139,(11),0,153,140,132,21,91.27%,86.27%,134,142,3,8,1,7,120,40,"6,381","6,378",(3),"3,997","2,912","6,261","6,240",670,90.62%,90.32%,"6,382","6,373","1,042","1,007","2,157","2,116","6,717",349

PKDate4,DisplayDept5,DisplayPayer5,BudgetResidentCensus8,ActualResidentCensus11,Textbox76,AvailableBeds11,AvailableUnits11,Budgeted_Occupied_Units9,Units_Beds_Occupied11,Unit_Bed_Vacancy11,ADC9,PADC9,MTD_MCAdmits9,MTD_MCDisch9,Prior_MCAdmits9,Prior_MCDisch9,Licenensed_Beds_Units25,Unlicenensed_Beds_Units11,BudgetResidentCensus9,ActualResidentCensus12,Textbox78,AvailableBeds12,AvailableUnits12,Budgeted_Occupied_Units10,Units_Beds_Occupied12,Unit_Bed_Vacancy12,Textbox139,Textbox140,ADC10,PADC10,MTD_MCAdmits10,MTD_MCDisch10,Prior_MCAdmits10,Prior_MCDisch10,Licenensed_Beds_Units26,Unlicenensed_Beds_Units24,Textbox141,ActualResidentCensus13,Textbox142,AvailableBeds13,AvailableUnits13,Budgeted_Occupied_Units11,Units_Beds_Occupied13,Unit_Bed_Vacancy13,Textbox143,Textbox144,ADC11,PADC11,MTD_MCAdmits11,MTD_MCDisch11,Prior_MCAdmits11,Prior_MCDisch11,Licenensed_Beds_Units27,Unlicenensed_Beds_Units25
07/31/2026,01-HC,PRIVATE PAY,82,75,(7),330,0,284,75,0,80,74,8,17,6,24,75,0,284,270,(14),330,0,284,270,60,86.06%,81.82%,278,268,102,82,204,208,330,0,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,01-HC,HOSPICE,16,8,(8),0,0,0,8,0,8,9,0,0,1,5,8,0,284,270,(14),330,0,284,270,60,86.06%,81.82%,278,268,102,82,204,208,330,0,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,01-HC,MANAGED CARE,2,6,4,0,0,0,6,0,5,3,9,9,20,14,6,0,284,270,(14),330,0,284,270,60,86.06%,81.82%,278,268,102,82,204,208,330,0,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,01-HC,MEDICARE,67,57,(10),0,0,0,57,0,60,59,35,19,66,68,57,0,284,270,(14),330,0,284,270,60,86.06%,81.82%,278,268,102,82,204,208,330,0,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,01-HC,MEDICARE ADVANTAGE,54,58,4,0,0,0,58,0,58,57,48,32,103,87,58,0,284,270,(14),330,0,284,270,60,86.06%,81.82%,278,268,102,82,204,208,330,0,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,01-HC,MEDICAID,64,66,2,0,0,0,66,0,66,64,2,2,7,7,66,0,284,270,(14),330,0,284,270,60,86.06%,81.82%,278,268,102,82,204,208,330,0,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,01-HC,BEDHOLDS,0,0,0,0,0,0,0,0,2,2,0,3,1,3,0,0,284,270,(14),330,0,284,270,60,86.06%,81.82%,278,268,102,82,204,208,330,0,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,01-HC,UNOCCUPIED,0,0,0,0,0,0,0,60,0,0,0,0,0,0,60,0,284,270,(14),330,0,284,270,60,86.06%,81.82%,278,268,102,82,204,208,330,0,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,03-AL,PRIVATE PAY,153,154,1,0,170,151,154,0,153,148,3,1,7,4,111,43,157,161,4,0,170,151,156,15,89.00%,91.76%,160,157,5,2,13,7,115,63,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,03-AL,BEDHOLDS,0,2,2,0,0,0,2,0,3,4,1,1,5,3,1,1,157,161,4,0,170,151,156,15,89.00%,91.76%,160,157,5,2,13,7,115,63,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,03-AL,2ND OCCUPANT,4,5,1,0,0,0,0,0,4,4,1,0,1,0,0,5,157,161,4,0,170,151,156,15,89.00%,91.76%,160,157,5,2,13,7,115,63,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,03-AL,UNOCCUPIED,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,14,157,161,4,0,170,151,156,15,89.00%,91.76%,160,157,5,2,13,7,115,63,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,03-AL Legacy,LEGACY - PVT PAY,98,95,(3),0,107,99,95,0,95,94,1,0,3,5,76,19,99,102,3,0,107,99,98,9,92.47%,91.59%,102,101,2,1,6,6,84,28,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,03-AL Legacy,LEGACY - BEDHOLDS,0,3,3,0,0,0,3,0,4,4,1,0,2,1,2,1,99,102,3,0,107,99,98,9,92.47%,91.59%,102,101,2,1,6,6,84,28,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,03-AL Legacy,LEGACY - 2ND OCCUPANT,2,4,2,0,0,0,0,0,3,4,0,1,1,0,0,4,99,102,3,0,107,99,98,9,92.47%,91.59%,102,101,2,1,6,6,84,28,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,03-AL Legacy,LEGACY - UNOCCUPIED,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,4,99,102,3,0,107,99,98,9,92.47%,91.59%,102,101,2,1,6,6,84,28,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,05-IL,PRIVATE PAY,15,16,1,0,16,15,16,0,16,16,0,0,0,0,0,16,18,20,2,0,16,15,16,0,95.00%,100.00%,20,20,0,0,0,0,0,20,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,05-IL,2ND OCCUPANT,3,4,1,0,0,0,0,0,4,4,0,0,0,0,0,4,18,20,2,0,16,15,16,0,95.00%,100.00%,20,20,0,0,0,0,0,20,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,06-SL,PRIVATE PAY,119,108,(11),0,125,118,108,0,108,108,2,1,4,4,46,62,133,121,(12),0,125,118,110,14,94.80%,88.00%,122,120,2,1,5,8,50,85,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,06-SL,BEDHOLDS,0,2,2,0,0,0,2,0,2,1,0,0,0,0,2,0,133,121,(12),0,125,118,110,14,94.80%,88.00%,122,120,2,1,5,8,50,85,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,06-SL,2ND OCCUPANT,15,11,(4),0,0,0,0,0,12,11,0,0,1,4,0,11,133,121,(12),0,125,118,110,14,94.80%,88.00%,122,120,2,1,5,8,50,85,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196
07/31/2026,06-SL,UNOCCUPIED,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,12,133,121,(12),0,125,118,110,14,94.80%,88.00%,122,120,2,1,5,8,50,85,692,674,(18),330,418,668,650,98,89.30%,86.90%,682,667,111,86,228,229,579,196

PKDate5,DisplayDept6,DisplayPayer6,BudgetResidentCensus10,ActualResidentCensus14,Textbox92,AvailableBeds14,AvailableUnits14,Budgeted_Occupied_Units12,Units_Beds_Occupied14,Unit_Bed_Vacancy14,ADC12,PADC12,MTD_MCAdmits12,MTD_MCDisch12,Prior_MCAdmits12,Prior_MCDisch12,Licenensed_Beds_Units28,Unlicenensed_Beds_Units16,BudgetResidentCensus11,ActualResidentCensus15,Textbox94,AvailableBeds15,AvailableUnits15,Budgeted_Occupied_Units13,Units_Beds_Occupied15,Unit_Bed_Vacancy15,Textbox150,Textbox151,ADC13,PADC13,MTD_MCAdmits13,MTD_MCDisch13,Prior_MCAdmits13,Prior_MCDisch13,Licenensed_Beds_Units29,Unlicenensed_Beds_Units26,Textbox153,ActualResidentCensus16,Textbox154,AvailableBeds16,AvailableUnits16,Budgeted_Occupied_Units14,Units_Beds_Occupied16,Unit_Bed_Vacancy16,Textbox155,Textbox156,ADC14,PADC14,MTD_MCAdmits14,MTD_MCDisch14,Prior_MCAdmits18,Prior_MCDisch14,Licenensed_Beds_Units30,Unlicenensed_Beds_Units27
07/31/2026,01-HC,PRIVATE PAY,15,16,1,50,0,44,16,0,17,18,2,3,1,7,16,0,44,48,4,50,0,44,48,1,89.00%,96.00%,48,47,8,7,26,22,49,0,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,01-HC,HOSPICE,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,44,48,4,50,0,44,48,1,89.00%,96.00%,48,47,8,7,26,22,49,0,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,01-HC,MANAGED CARE,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,44,48,4,50,0,44,48,1,89.00%,96.00%,48,47,8,7,26,22,49,0,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,01-HC,MEDICARE,12,8,(4),0,0,0,8,0,9,9,4,1,12,9,8,0,44,48,4,50,0,44,48,1,89.00%,96.00%,48,47,8,7,26,22,49,0,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,01-HC,MEDICARE ADVANTAGE,4,8,4,0,0,0,8,0,6,6,1,2,11,5,8,0,44,48,4,50,0,44,48,1,89.00%,96.00%,48,47,8,7,26,22,49,0,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,01-HC,MEDICAID,14,13,(1),0,0,0,13,0,13,12,0,0,1,0,13,0,44,48,4,50,0,44,48,1,89.00%,96.00%,48,47,8,7,26,22,49,0,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,01-HC,BEDHOLDS,0,1,1,0,0,0,1,0,2,1,0,0,0,1,1,0,44,48,4,50,0,44,48,1,89.00%,96.00%,48,47,8,7,26,22,49,0,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,01-HC,UNOCCUPIED,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,44,48,4,50,0,44,48,1,89.00%,96.00%,48,47,8,7,26,22,49,0,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,03-AL,PRIVATE PAY,19,21,2,0,20,19,21,0,22,19,0,0,2,1,21,0,20,25,5,0,20,19,23,0,95.02%,115.00%,25,22,0,0,3,1,23,2,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,03-AL,BEDHOLDS,0,2,2,0,0,0,2,0,1,2,0,0,0,0,2,0,20,25,5,0,20,19,23,0,95.02%,115.00%,25,22,0,0,3,1,23,2,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,03-AL,2ND OCCUPANT,1,2,1,0,0,0,0,0,2,1,0,0,1,0,0,2,20,25,5,0,20,19,23,0,95.02%,115.00%,25,22,0,0,3,1,23,2,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,03-AL Legacy,LEGACY - PVT PAY,13,15,2,0,15,13,15,0,15,15,0,0,0,0,15,0,13,15,2,0,15,13,15,0,86.67%,100.00%,15,15,0,0,0,0,15,0,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,06-SL,PRIVATE PAY,26,23,(3),0,60,26,23,0,25,22,1,0,3,0,20,3,30,27,(3),0,60,26,25,17,42.67%,41.67%,28,25,1,0,6,0,21,23,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,06-SL,BEDHOLDS,0,2,2,0,0,0,2,0,1,1,0,0,3,0,1,1,30,27,(3),0,60,26,25,17,42.67%,41.67%,28,25,1,0,6,0,21,23,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,06-SL,2ND OCCUPANT,4,2,(2),0,0,0,0,0,2,2,0,0,0,0,0,2,30,27,(3),0,60,26,25,17,42.67%,41.67%,28,25,1,0,6,0,21,23,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25
07/31/2026,06-SL,UNOCCUPIED,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,30,27,(3),0,60,26,25,17,42.67%,41.67%,28,25,1,0,6,0,21,23,107,115,8,50,95,102,111,18,70.42%,76.55%,116,109,9,7,35,23,108,25

